,"Aston Hill",,,,"Mold",,,,"Wrexham",,,,,,,,,
Date,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status
2002-05-14,No data,,No data,,No data,,No data,,7,V ugm-3,11,V ugm-3,1,V ugm-3,0.27,V mgm-3,No data
2002-05-15,No data,,No data,,No data,,No data,,16,V ugm-3,30,V ugm-3,1,V ugm-3,0.5,V mgm-3,No data
2002-05-16,No data,,No data,,No data,,No data,,29,V ugm-3,57,V ugm-3,4,V ugm-3,0.67,V mgm-3,No data
2002-05-17,No data,,No data,,No data,,No data,,26,V ugm-3,48,V ugm-3,4,V ugm-3,0.6,V mgm-3,No data
2002-05-18,No data,,No data,,No data,,No data,,16,V ugm-3,34,V ugm-3,2,V ugm-3,0.41,V mgm-3,No data
2002-05-19,No data,,No data,,No data,,No data,,9,V ugm-3,18,V ugm-3,3,V ugm-3,0.35,V mgm-3,No data
2002-05-20,No data,,No data,,No data,,No data,,19,V ugm-3,42,V ugm-3,4,V ugm-3,0.56,V mgm-3,No data
2002-05-21,No data,,No data,,No data,,No data,,20,V ugm-3,43,V ugm-3,2,V ugm-3,0.5,V mgm-3,No data
2002-05-22,No data,,No data,,No data,,No data,,14,V ugm-3,30,V ugm-3,2,V ugm-3,0.46,V mgm-3,No data
2002-05-23,No data,,No data,,No data,,No data,,11,V ugm-3,20,V ugm-3,2,V ugm-3,0.34,V mgm-3,No data
2002-05-24,No data,,No data,,No data,,No data,,7,V ugm-3,12,V ugm-3,3,V ugm-3,0.22,V mgm-3,No data
2002-05-25,No data,,No data,,No data,,No data,,7,V ugm-3,14,V ugm-3,1,V ugm-3,0.29,V mgm-3,No data
2002-05-26,No data,,No data,,No data,,No data,,14,V ugm-3,22,V ugm-3,3,V ugm-3,0.36,V mgm-3,No data
2002-05-27,No data,,No data,,No data,,No data,,25,V ugm-3,49,V ugm-3,2,V ugm-3,0.62,V mgm-3,No data
2002-05-28,No data,,No data,,No data,,No data,,19,V ugm-3,40,V ugm-3,4,V ugm-3,0.52,V mgm-3,No data
2002-05-29,No data,,No data,,No data,,No data,,5,V ugm-3,7,V ugm-3,2,V ugm-3,0.18,V mgm-3,No data
2002-05-30,No data,,No data,,No data,,No data,,9,V ugm-3,16,V ugm-3,3,V ugm-3,0.29,V mgm-3,No data
2002-05-31,No data,,No data,,No data,,No data,,16,V ugm-3,24,V ugm-3,3,V ugm-3,0.28,V mgm-3,No data
2002-06-01,No data,,No data,,No data,,No data,,30,V ugm-3,48,V ugm-3,1,V ugm-3,0.61,V mgm-3,No data
2002-06-02,No data,,No data,,No data,,No data,,19,V ugm-3,29,V ugm-3,3,V ugm-3,0.55,V mgm-3,No data
2002-06-03,No data,,No data,,No data,,No data,,10,V ugm-3,17,V ugm-3,2,V ugm-3,0.34,V mgm-3,No data
2002-06-04,No data,,No data,,No data,,No data,,12,V ugm-3,16,V ugm-3,3,V ugm-3,0.32,V mgm-3,No data
2002-06-05,No data,,No data,,No data,,No data,,18,V ugm-3,25,V ugm-3,3,V ugm-3,0.35,V mgm-3,No data
2002-06-06,No data,,No data,,No data,,No data,,35,V ugm-3,51,V ugm-3,8,V ugm-3,0.69,V mgm-3,No data
2002-06-07,No data,,No data,,No data,,No data,,32,V ugm-3,67,V ugm-3,4,V ugm-3,0.71,V mgm-3,No data
2002-06-08,No data,,No data,,No data,,No data,,30,V ugm-3,63,V ugm-3,2,V ugm-3,0.66,V mgm-3,No data
2002-06-09,No data,,No data,,No data,,No data,,11,V ugm-3,21,V ugm-3,0,V ugm-3,0.31,V mgm-3,No data
2002-06-10,No data,,No data,,No data,,No data,,10,V ugm-3,16,V ugm-3,3,V ugm-3,0.27,V mgm-3,No data
2002-06-11,No data,,No data,,No data,,No data,,6,V ugm-3,7,V ugm-3,3,V ugm-3,0.15,V mgm-3,No data
2002-06-12,No data,,No data,,No data,,No data,,15,V ugm-3,32,V ugm-3,3,V ugm-3,0.36,V mgm-3,No data
2002-06-13,No data,,No data,,No data,,No data,,11,V ugm-3,21,V ugm-3,2,V ugm-3,0.29,V mgm-3,No data
2002-06-14,No data,,No data,,No data,,No data,,17,V ugm-3,47,V ugm-3,3,V ugm-3,0.52,V mgm-3,No data
2002-06-15,No data,,No data,,No data,,No data,,10,V ugm-3,17,V ugm-3,3,V ugm-3,0.23,V mgm-3,No data
